ID,Raw Frequency,Relative Frequency,CEFR Level,Source,Marker,Lemma,POS,Examples
1,,,A1,manual,,andra,numeral,
2,,,A1,manual,,arton,numeral,
3,,,A1,manual,,bakre,adjective,
4,,,A1,manual,en,brunch,noun-en,
5,,,A1,manual,en,decimeter,noun-en,
6,,,A1,manual,,elva,numeral,
7,,,A1,manual,,ett,numeral,
8,416,,A1,manual,,Europa,proper name,
9,,,A1,manual,,fem,numeral,
10,,,A1,manual,,femte,numeral,
11,,,A1,manual,,femtio,numeral,
12,,,A1,manual,,femton,numeral,
13,,,A1,manual,,fjorton,numeral,
14,,,A1,manual,,fjärde,numeral,
15,,,A1,manual,,främre,adjective,
16,,,A1,manual,,fyra,numeral,
17,,,A1,manual,,fyrtio,numeral,
18,,,A1,manual,,första,numeral,
19,,,A1,manual,,Grekland,proper name,
20,,,A1,manual,,Göteborg,proper name,
21,,,A1,manual,ett,hekto,noun-ett,
22,,,A1,manual,en,hela,noun-en,
23,,,A1,manual,,hundra,numeral,
24,,,A1,manual,,hundratusen,numeral,
25,,,A1,manual,,hörsel,noun-en,
26,,,A1,manual,en,inrikesminister,noun-en,
27,,,A1,manual,,inrikespolitik,noun-en,
28,,,A1,manual,,Italien,proper name,
29,,,A1,manual,,Kina,proper name,
30,,,A1,manual,ett,kvällsmål,noun-ett,
31,,,A1,manual,,känsel,noun-en,
32,,,A1,manual,ett,mellanmål,noun-ett,
33,,,A1,manual,,miljard,numeral,
34,,,A1,manual,,miljon,numeral,
35,,,A1,manual,ett,milligram,noun-ett,
36,,,A1,manual,en,millimeter,noun-en,
37,,,A1,manual,en,morbror,noun-en,
38,,,A1,manual,ett,månadsskifte,noun-ett,
39,,,A1,manual,en,nia,noun-en,
40,,,A1,manual,,nio,numeral,
41,,,A1,manual,,nionde,numeral,
42,,,A1,manual,,nittio,numeral,
43,,,A1,manual,,nitton,numeral,
44,,,A1,manual,,nordost,noun,
45,,,A1,manual,,Norge,proper name,
46,,,A1,manual,,pingst,noun-en,
47,,,A1,manual,,Polen,proper name,
48,,,A1,manual,,Ryssland,proper name,
49,,,A1,manual,,sex,numeral,
50,,,A1,manual,en,sexa,noun-en,
51,,,A1,manual,,sextio,numeral,
52,,,A1,manual,,sexton,numeral,
53,,,A1,manual,,sju,numeral,
54,,,A1,manual,en,sjua,noun-en,
55,,,A1,manual,,sjunde,numeral,
56,,,A1,manual,,sjuttio,numeral,
57,,,A1,manual,,sjutton,numeral,
58,,,A1,manual,,sjätte,numeral,
59,541,,A1,SweWaC,,Stockholm,proper name,
60,,,A1,manual,en,storasyster,noun-en,
61,,,A1,manual,,Storbritannien,proper name,
62,,,A1,manual,,syd,noun,
63,,,A1,manual,,sydväst,noun,
64,,,A1,manual,,sydöst,noun,
65,,,A1,manual,en,syssling,noun-en,
66,,,A1,manual,en,tia,noun-en,
67,,,A1,manual,,tio,numeral,
68,,,A1,manual,,tionde,numeral,
69,,,A1,manual,,tiotusen,numeral,
70,,,A1,manual,,tjugo,numeral,
71,,,A1,manual,,tolv,numeral,
72,,,A1,manual,,tre,numeral,
73,,,A1,manual,,tredje,numeral,
74,,,A1,manual,,trettio,numeral,
75,,,A1,manual,,tretton,numeral,
76,,,A1,manual,,tusen,numeral,
77,,,A1,manual,,två,numeral,
78,,,A1,manual,en,utbildningsminister,noun-en,
79,,,A1,manual,en,veckodag,noun-en,
80,,,A1,manual,en,åtta,noun-en,
81,,,A1,manual,,åtta,numeral,
82,,,A1,manual,,åttio,numeral,
83,,,A1,manual,,åttonde,numeral,
84,,,A1,manual,en,änkeman,noun-en,
85,,,A1,manual,en,änkling,noun-en,
86,,,A1,manual,ett,ögonlock,noun-ett,
87,2966316,26019.68,A1,SweWaC,,och (vardagl. å; förk. o.),conj,
